gene	Badami_LB_400CH_Clone14	Badami_LB_400CH_Clone15	Badami_LB_400CH_Clone16	Badami_LB_800CH_Clone14	Badami_LB_800CH_Clone15	Badami_LB_800CH_Clone16	Bergeron_LB_400CH_Clone10	Bergeron_LB_400CH_Clone8	Bergeron_LB_400CH_Clone9	Bergeron_LB_800CH_Clone10	Bergeron_LB_800CH_Clone8	Bergeron_LB_800CH_Clone9
Prupe.1G026800.v2.1	319	763	734	607	929	1112	350	666	578	270	782	973
Prupe.1G026900.v2.1	210	277	230	195	201	294	184	299	223	154	439	643
Prupe.1G027000.v2.1	541	749	1051	861	905	850	856	671	895	692	983	944
Prupe.1G027100.v2.1	139	275	266	351	370	452	162	271	182	54	223	502
Prupe.1G027200.v2.1	283	653	635	350	489	589	333	482	409	173	342	426
Prupe.1G027300.v2.1	156	464	456	267	408	478	261	400	316	96	248	307
Prupe.1G027400.v2.1	43	92	112	96	111	117	54	51	41	12	47	40
Prupe.1G027500.v2.1	19	29	31	9	6	10	21	41	22	6	6	12
Prupe.1G027600.v2.1	0	3	2	18	4	6	4	6	7	14	24	37
Prupe.1G027700.v2.1	105	195	198	124	183	255	129	170	121	38	105	122
Prupe.1G027800.v2.1	128	286	291	154	259	197	257	284	292	112	311	307
Prupe.1G027900.v2.1	312	492	467	289	379	482	248	354	280	133	229	261
Prupe.1G028000.v2.1	1	1	6	28	12	33	3	3	1	12	44	14
Prupe.1G028100.v2.1	83	176	150	134	156	183	135	179	155	70	229	263
Prupe.1G028200.v2.1	12	33	36	20	23	21	5	10	4	0	5	7
Prupe.1G028300.v2.1	0	0	0	0	0	0	2	0	0	0	0	0
Prupe.1G028400.v2.1	4007	8134	8189	6710	6050	11594	308	772	932	147	1024	687
Prupe.1G028500.v2.1	1368	2196	2691	1215	1283	2154	1254	2202	1114	186	416	374
Prupe.1G028600.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G028700.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G028800.v2.1	960	1304	1359	2019	2389	3406	4710	9616	6913	2649	6875	4237
Prupe.1G028900.v2.1	1	0	0	0	0	0	0	0	0	0	2	0
Prupe.1G029000.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G029100.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G029200.v2.1	0	0	0	1	0	0	3	4	2	15	14	30
Prupe.1G029300.v2.1	0	0	0	0	0	0	0	0	0	1	4	9
Prupe.1G029400.v2.1	0	0	0	0	0	0	3	0	0	22	51	87
Prupe.1G029500.v2.1	0	0	0	0	0	0	2	0	1	0	0	1
Prupe.1G029600.v2.1	0	0	0	0	0	0	10	9	3	2	4	4
Prupe.1G029700.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G029800.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G029900.v2.1	0	1	0	0	0	0	0	3	0	0	0	0
Prupe.1G030000.v2.1	397	1041	844	422	621	988	441	653	557	180	551	695
